mergesort,1000,1,10242,1,0
mergesort,5000,3,58645,1,0
mergesort,10000,4,126796,1,0
quicksort,1000,2,11085,0,0
quicksort,5000,5,77904,0,0
quicksort,10000,6,156632,0,0
select,1000,1,2543,521,0
select,5000,4,13148,2646,0
select,10000,6,24542,4925,0
closest,100,64,630,32,0
closest,500,67,4358,128,0
closest,1000,69,9736,256,0
